:ID,code,:LABEL
16960,WN3 4NL,PostCode
16962,OL11 3HA,PostCode
16964,BL1 3AH,PostCode
16966,SK16 5AP,PostCode
16968,OL7 9PL,PostCode
16970,SK4 4RW,PostCode
16972,BL1 4HP,PostCode
16973,M29 8BA,PostCode
16975,OL4 2BL,PostCode
16977,M3 4NW,PostCode
16979,OL7 9RL,PostCode
16980,M44 6PD,PostCode
16982,M14 5RH,PostCode
16984,OL3 7AH,PostCode
16986,SK3 9EU,PostCode
16988,BL6 6ND,PostCode
16990,OL11 2TR,PostCode
16991,M40 5HY,PostCode
16993,M24 5NP,PostCode
16995,OL8 3LT,PostCode
16997,WN1 2JD,PostCode
16999,WN2 5AB,PostCode
17001,M8 4PF,PostCode
17003,BL4 0DF,PostCode
17005,SK3 8NA,PostCode
17006,OL8 1PP,PostCode
17007,M15 5PS,PostCode
17009,M8 8YT,PostCode
17010,OL11 3SN,PostCode
17011,M1 2NA,PostCode
17013,WN2 3QP,PostCode
17014,M30 8BB,PostCode
17016,SK4 4BY,PostCode
17017,M20 4XU,PostCode
17019,BL1 4PR,PostCode
17020,OL9 7HH,PostCode
17022,M26 4DZ,PostCode
17024,SK14 4SA,PostCode
17025,BL3 5EL,PostCode
17027,SK15 1BR,PostCode
17028,M22 9ND,PostCode
17030,SK6 4BN,PostCode
17032,M32 8FD,PostCode
17034,WA15 7DE,PostCode
17036,SK14 1QX,PostCode
17037,BL8 1NE,PostCode
17039,M33 3PF,PostCode
17041,M20 2TL,PostCode
17042,BL1 7QD,PostCode
17043,BL1 3DR,PostCode
17044,M19 3AE,PostCode
17046,BL8 2RS,PostCode
17047,M20 3HP,PostCode
17048,M5 4AU,PostCode
17050,OL3 5HH,PostCode
17051,M28 3RE,PostCode
17053,SK7 4HY,PostCode
17055,SK2 5EB,PostCode
17057,M46 0HW,PostCode
17059,WA14 1LT,PostCode
17060,OL16 1QT,PostCode
17061,WN5 9ND,PostCode
17063,M12 4UU,PostCode
17065,OL7 0SF,PostCode
17066,SK16 4NS,PostCode
17067,M32 0QG,PostCode
17068,SK7 5HQ,PostCode
17069,SK15 1NX,PostCode
17070,BL4 7LG,PostCode
17071,WA14 1NG,PostCode
17072,M12 4GJ,PostCode
17073,M28 7FY,PostCode
17074,M27 0PU,PostCode
17076,M21 8UA,PostCode
17078,M9 4GZ,PostCode
17080,OL10 2JL,PostCode
17081,M11 1GH,PostCode
17083,SK14 6LP,PostCode
17084,M34 3QX,PostCode
17086,M50 3AA,PostCode
17088,OL9 9TH,PostCode
17089,WN3 5AQ,PostCode
17090,WN7 5QJ,PostCode
17092,M30 0DF,PostCode
17093,WN3 5NB,PostCode
17094,BL7 9LB,PostCode
17096,M27 8SD,PostCode
17097,OL6 8XR,PostCode
17099,M19 1EJ,PostCode
17100,WN3 4NA,PostCode
17101,BL9 9PL,PostCode
17103,M27 9RB,PostCode
17104,M18 8QF,PostCode
17106,OL8 1NG,PostCode
17107,M20 4TU,PostCode
17108,M25 9SL,PostCode
17110,M24 6AJ,PostCode
17111,OL11 4PB,PostCode
17112,M12 5PS,PostCode
17113,OL7 0LX,PostCode
17114,BL4 0RP,PostCode
17115,BL5 2RN,PostCode
17117,OL2 6NQ,PostCode
17119,M44 6PN,PostCode
17120,WN6 7PF,PostCode
17122,M12 5EE,PostCode
17123,M6 7DJ,PostCode
17125,BL9 8RN,PostCode
17126,BL4 0ET,PostCode
17127,OL16 5HL,PostCode
17128,M18 8GE,PostCode
17129,OL8 2RB,PostCode
17130,WA14 2SP,PostCode
17131,SK16 4AH,PostCode
17132,BL6 6SS,PostCode
17133,BL9 8NF,PostCode
17134,M23 9PJ,PostCode
17136,M25 1FW,PostCode
17137,M5 3NG,PostCode
17138,OL2 7UW,PostCode
17139,OL6 9LZ,PostCode
17140,SK2 7PA,PostCode
17141,OL6 8DT,PostCode
17142,M35 0LB,PostCode
17144,SK7 2DS,PostCode
17145,M26 4BR,PostCode
17146,OL11 2NE,PostCode
17147,WN6 8AS,PostCode
17148,M24 5DL,PostCode
17149,M24 5DU,PostCode
17150,M41 9JA,PostCode
17152,BL1 6BT,PostCode
17153,SK4 4HE,PostCode
17154,M20 5GR,PostCode
17155,BL9 9GH,PostCode
17156,SK16 5HG,PostCode
17157,SK8 2HR,PostCode
17159,M24 4SL,PostCode
17160,M33 4LD,PostCode
17161,M28 0JE,PostCode
17162,OL16 3EH,PostCode
17163,M30 7DL,PostCode
17164,OL1 4JF,PostCode
17165,SK1 4HS,PostCode
17166,M30 8AG,PostCode
17167,SK4 2NW,PostCode
17168,WN4 8SN,PostCode
17170,M14 5NX,PostCode
17171,M5 4GT,PostCode
17172,BL6 7AF,PostCode
17173,M22 5EZ,PostCode
17174,OL8 3UY,PostCode
17175,M14 7NG,PostCode
17176,M9 4BN,PostCode
17177,M20 2DR,PostCode
17178,M14 7AG,PostCode
17179,SK8 4QS,PostCode
17180,WN1 2AY,PostCode
17181,M28 3ST,PostCode
17182,M30 7HL,PostCode
17183,M20 1EY,PostCode
17184,M7 4LY,PostCode
17186,M41 9ND,PostCode
17187,OL16 2HS,PostCode
17188,M28 0SG,PostCode
17189,BL3 4QD,PostCode
17190,M43 7TN,PostCode
17192,SK3 8JL,PostCode
17193,BL5 2DE,PostCode
17194,BL2 3AP,PostCode
17196,M33 6LA,PostCode
17197,BL9 8JZ,PostCode
17198,OL4 2BP,PostCode
17199,WN5 0DD,PostCode
17200,WA15 7JD,PostCode
17201,M13 9EZ,PostCode
17203,OL10 1AU,PostCode
17204,M31 4DU,PostCode
17206,BL9 9TW,PostCode
17207,OL11 5WG,PostCode
17208,BL4 7BN,PostCode
17209,BL1 3UA,PostCode
17210,SK14 4TJ,PostCode
17211,SK5 8BZ,PostCode
17213,SK4 2QB,PostCode
17214,M20 1FE,PostCode
17215,M33 3WE,PostCode
17216,M5 5HU,PostCode
17217,M90 1NN,PostCode
17219,M40 3PB,PostCode
17220,SK8 1AH,PostCode
17221,SK3 9PA,PostCode
17222,OL12 6TA,PostCode
17223,OL8 3LZ,PostCode
17224,WN7 4DZ,PostCode
17225,WN4 8LA,PostCode
17226,M24 2JA,PostCode
17227,M13 9GG,PostCode
17228,WA14 5BH,PostCode
17229,M4 7EU,PostCode
17231,WA15 8LS,PostCode
17232,BL3 2BA,PostCode
17233,WN7 4JJ,PostCode
17234,M12 4JE,PostCode
17235,M20 6UQ,PostCode
17236,M29 7GT,PostCode
17237,OL11 1QJ,PostCode
17238,OL6 8HN,PostCode
17239,OL2 5RB,PostCode
17240,OL6 9DU,PostCode
17241,M26 1NQ,PostCode
17242,SK8 3RH,PostCode
17243,M35 9ED,PostCode
17244,SK14 5HU,PostCode
17245,OL12 9DG,PostCode
17246,SK8 2JD,PostCode
17247,OL2 7BD,PostCode
17248,SK2 7EG,PostCode
17249,M6 5WN,PostCode
17250,OL1 4DT,PostCode
17251,M23 2SG,PostCode
17252,WN1 1SE,PostCode
17253,SK14 4JY,PostCode
17254,M13 0QX,PostCode
17255,SK4 2HY,PostCode
17256,BL5 2RR,PostCode
17257,BL3 4JD,PostCode
17258,M20 3DA,PostCode
17259,OL10 4TQ,PostCode
17260,BL4 0PE,PostCode
17261,M14 4UH,PostCode
17262,M38 9QY,PostCode
17264,SK14 2ST,PostCode
17265,M27 6DF,PostCode
17266,OL6 7FQ,PostCode
17267,BL3 5LY,PostCode
17268,WN4 8XW,PostCode
17269,M27 0JU,PostCode
17270,OL8 3JY,PostCode
17271,BL3 3TA,PostCode
17272,BL7 9UE,PostCode
17273,M16 0HE,PostCode
17275,WN6 7DX,PostCode
17276,WN2 5BB,PostCode
17277,BL9 6BE,PostCode
17278,OL4 4BH,PostCode
17279,SK16 4QS,PostCode
17280,BL3 3TG,PostCode
17281,M7 2HA,PostCode
17282,OL11 2EZ,PostCode
17283,BL2 1NN,PostCode
17284,BL4 9RH,PostCode
17285,M21 7WG,PostCode
17286,OL12 6QJ,PostCode
17287,OL12 9UP,PostCode
17288,BL3 5NJ,PostCode
17289,BL4 9TP,PostCode
17290,SK2 7EL,PostCode
17291,WN7 4ER,PostCode
17292,M14 6ES,PostCode
17293,OL8 1LR,PostCode
17294,OL16 4RF,PostCode
17295,BL1 8ER,PostCode
17296,SK7 3HY,PostCode
17297,M24 4GD,PostCode
17298,SK5 6LZ,PostCode
17299,M9 6BA,PostCode
17300,SK16 5JX,PostCode
17301,M8 0BS,PostCode
17302,M11 3SU,PostCode
17303,BL6 6RL,PostCode
17304,M19 2EZ,PostCode
17305,OL4 4SW,PostCode
17306,M22 4DP,PostCode
17307,BL3 4JR,PostCode
17308,M9 0PY,PostCode
17309,OL8 1LX,PostCode
17310,M8 9PB,PostCode
17311,BL1 4SJ,PostCode
17312,M40 5NP,PostCode
17313,SK4 4RH,PostCode
17314,M45 8FE,PostCode
17316,WN2 3XE,PostCode
17317,M12 6EJ,PostCode
17318,OL11 2TL,PostCode
17319,M32 9FB,PostCode
17320,M16 7NS,PostCode
17321,SK3 9NP,PostCode
17322,OL16 5BL,PostCode
17323,M26 2QJ,PostCode
17324,BL3 2BE,PostCode
17325,WN5 0DN,PostCode
17326,OL9 0ER,PostCode
17327,SK3 0PW,PostCode
17328,OL10 4QD,PostCode
17329,M35 0BB,PostCode
17330,BL1 1LE,PostCode
17331,BL6 6HF,PostCode
17332,M35 0BD,PostCode
17333,BL1 7DR,PostCode
17334,BL7 9YT,PostCode
17335,BL7 9PN,PostCode
17336,BL7 9SX,PostCode
17337,BL7 9SP,PostCode
17338,BL7 9UN,PostCode
17339,BL7 9SB,PostCode
17340,BL7 9HU,PostCode
17341,BL7 9HA,PostCode
17342,BL7 9DR,PostCode
17343,BL2 3EG,PostCode
17344,BL2 3FW,PostCode
17345,BL2 3EH,PostCode
17346,BL2 3LN,PostCode
17347,BL2 4BE,PostCode
17348,BL2 3DH,PostCode
17349,BL2 3EE,PostCode
17350,BL2 3LP,PostCode
17351,BL7 9GA,PostCode
17352,BL7 9GX,PostCode
17353,BL7 9AR,PostCode
17354,BL7 9JT,PostCode
17355,BL7 9NB,PostCode
17356,BL7 9JP,PostCode
17357,BL2 3DA,PostCode
17358,BL2 3BT,PostCode
17359,BL7 9DN,PostCode
17360,BL1 7JR,PostCode
17361,BL1 7RT,PostCode
17362,BL1 8SG,PostCode
17363,BL1 8SD,PostCode
17364,BL1 7RG,PostCode
17365,BL1 7RQ,PostCode
17366,BL1 7ET,PostCode
17367,BL1 7EL,PostCode
17368,BL1 7JN,PostCode
17369,BL1 8RH,PostCode
17370,BL1 7JJ,PostCode
17371,BL1 7HY,PostCode
17372,BL1 8RP,PostCode
17373,BL1 7EH,PostCode
17374,BL1 7EP,PostCode
17375,BL1 8RL,PostCode
17376,BL1 8QZ,PostCode
17377,BL1 7HU,PostCode
17378,BL1 8QY,PostCode
17379,BL1 8RE,PostCode
17380,BL7 9LD,PostCode
17381,BL7 9BU,PostCode
17382,BL7 9XR,PostCode
17383,BL7 9DD,PostCode
17384,BL7 9DW,PostCode
17385,BL7 9JN,PostCode
17386,BL6 7TD,PostCode
17387,BL6 5NT,PostCode
17388,BL6 5NE,PostCode
17389,BL6 5QG,PostCode
17390,BL6 5NF,PostCode
17391,BL6 5TX,PostCode
17392,BL6 5GQ,PostCode
17393,BL6 5QP,PostCode
17394,BL6 5SZ,PostCode
17395,BL6 5QR,PostCode
17396,BL6 5QU,PostCode
17397,BL6 5TT,PostCode
17398,BL6 7QA,PostCode
17399,BL6 7QN,PostCode
17400,BL6 7TU,PostCode
17401,BL6 7JZ,PostCode
17402,BL6 7TN,PostCode
